Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,ADT,0,0,0,0,5170000000.0,14660000000.0,,6.18,0.68,1.13,1.22,3.2,6.44,-13.3,7.53,1.26,-15.91,4580000000.0,6.13,7.2,3540000000.0,2280000000.0,-609160000.0,-0.81,,363180000.0,0.48,10000000000.0,236.75,0.84,5.51,1790000000.0,478610000.0,,6.53,7.17,2490000.0,766960000.0,131720000.0,1.2,98.65,29260000.0,10.08,27.21,27040000.0
0,0,AEE,0,0,0,0,17750000000.0,27030000000.0,21.79,20.61,3.34,2.95,2.32,4.5,11.31,13.56,23.75,3.36,10.88,6010000000.0,24.65,1.6,2790000000.0,2390000000.0,815000000.0,3.32,,16000000.0,0.06,9040000000.0,116.25,0.57,31.21,2170000000.0,-643750000.0,0.26,72.34,69.0,1400000.0,245420000.0,243480000.0,0.42,74.35,4070000.0000000005,2.97,1.89,4240000.0
0,0,AEO,0,0,0,0,4130000000.0,3690000000.0,16.35,13.66,1.93,1.02,3.22,0.91,7.24,6.49,8.44,11.45,20.67,4040000000.0,22.87,1.3,1800000000.0,509200000.0,261899999.99999997,1.47,-18.9,425460000.0,2.46,,,1.93,7.47,456640000.0,210810000.0,0.78,21.97,20.88,3890000.0,171870000.0,156210000.0,5.86,94.61,16340000.0,4.13,,16100000.000000002
0,0,AEP,0,0,0,0,41790000000.0,69230000000.0,20.46,19.25,3.47,2.58,2.18,4.27,13.57,12.6,18.26,2.71,10.82,16200000000.0,32.87,0.2,6180000000.0,5100000000.0,2040000000.0,4.14,26.1,396600000.0,0.8,27670000000.0,143.4,0.49,38.9,5230000000.0,-2210000000.0,0.17,83.81,78.7,2720000.0,493440000.0,493310000.0,0.02,75.76,7220000.0,2.13,1.46,8600000.0
0,0,AES,0,0,0,0,11290000000.0,31470000000.0,9.43,11.84,1.72,1.05,3.52,2.93,9.32,11.2,22.09,4.52,25.53,10740000000.0,16.22,-0.8,2570000000.0,3380000000.0,985000000.0,1.81,,1480000000.0,2.23,19300000000.0,340.66,1.14,4.84,2420000000.0,100500000.0,0.6,17.92,16.3,5690000.0,662400000.0,659950000.0,0.35,97.39,14330000.0,2.44,2.49,14080000.0
0,0,AET,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AFL,0,0,0,0,37460000000.0,40860000000.0,12.3,11.29,1.89,1.71,1.44,1.86,9.05,14.26,20.35,1.91,12.44,21950000000.0,28.78,3.5,7190000000.0,4510000000.0,3130000000.0,4.09,29.4,4440000000.0,5.96,7870000000.0,30.21,0.43,34.9,6320000000.0,3530000000.0,0.52,49.46,46.76,3110000.0,745470000.0,736560000.0,1.77,70.52,8940000.0,2.68,1.21,10760000.0
0,0,AGN,0,0,0,0,47630000000.0,70800000000.0,,8.29,2.28,3.02,0.74,4.49,9.93,-32.28,2.43,0.22,-7.32,15790000000.0,46.85,-5.7,13520000000.0,7130000000.0,-5140000000.0,-15.26,,1910000000.0,5.73,23800000000.0,36.54,1.13,195.77,5640000000.0,6030000000.0,1.6,146.82,150.54,2350000.0,330220000.0,331770000.0,0.3,88.91,3340000.0,1.67,1.01,4620000.0
0,0,AIG,0,0,0,0,40700000000.0,63630000000.0,,9.34,0.21,0.86,0.72,1.34,8.53,-0.01,4.42,0.26,0.17,47460000000.0,52.82,0.6,10900000000.0,7460000000.0,36000000.0,-0.01,,12550000000.0,14.43,34540000000.0,60.27,0.62,65.04,61000000.0,6610000000.0,1.3,44.23,43.12,5400000.0,869740000.0,868890000.0,0.14,92.01,17700000.0,4.41,2.04,22100000.0
0,0,AIV,0,0,0,0,7540000000.0,12170000000.0,11.3,132.59,15.63,7.81,4.51,12.61,20.58,69.01,22.35,2.2,39.57,965420000.0,6.39,-7.3,636600000.0,591240000.0,656600000.0,4.34,-97.2,36860000.0,0.25,4080000000.0,218.54,0.79,10.89,396390000.0,37350000.0,0.72,49.97,47.26,1260000.0,144270000.0,142830000.0,0.92,101.8,1440000.0,1.23,1.42,2570000.0
